|Run	|Time	|PosX	|PosY
12	1.262e+04	1307	959
12	1.262e+04	1308	960
12	1.262e+04	1309	959
12	1.262e+04	1310	960
12	1.262e+04	1311	960
12	1.262e+04	1312	959
12	1.262e+04	1313	959
12	1.262e+04	1314	960
12	1.262e+04	1315	960
12	1.262e+04	1316	960
12	1.263e+04	1317	961
12	1.263e+04	1318	961
12	1.263e+04	1319	960
12	1.263e+04	1320	960
12	1.263e+04	1321	959
12	1.263e+04	1321	959
12	1.263e+04	1322	959
12	1.263e+04	1323	959
12	1.263e+04	1324	959
12	1.264e+04	1324	959
12	1.264e+04	1323	959
12	1.264e+04	1323	959
12	1.264e+04	1322	960
12	1.264e+04	1322	960
12	1.264e+04	1323	961
12	1.264e+04	1323	961
12	1.264e+04	1324	961
12	1.264e+04	1325	960
12	1.264e+04	1326	959
12	1.264e+04	1327	960
12	1.265e+04	1328	959
12	1.265e+04	1329	959
12	1.265e+04	1330	958
12	1.265e+04	1330	959
12	1.265e+04	1329	958
12	1.265e+04	1330	957
12	1.265e+04	1331	958
12	1.265e+04	1331	958
12	1.265e+04	1331	958
12	1.266e+04	1332	959
12	1.266e+04	1331	960
12	1.266e+04	1332	960
12	1.266e+04	1333	960
12	1.266e+04	1334	960
12	1.266e+04	1335	961
12	1.266e+04	1336	962
12	1.266e+04	1337	962
12	1.266e+04	1338	963
12	1.266e+04	1338	963
12	1.266e+04	1338	963
12	1.267e+04	1338	962
12	1.267e+04	1338	962
12	1.267e+04	1338	962
12	1.267e+04	1339	962
12	1.267e+04	1340	962
12	1.267e+04	1340	963
12	1.267e+04	1340	963
12	1.267e+04	1341	962
12	1.267e+04	1342	962
12	1.268e+04	1343	963
12	1.268e+04	1343	963
12	1.268e+04	1344	962
12	1.268e+04	1344	961
12	1.268e+04	1345	961
12	1.268e+04	1345	960
12	1.268e+04	1345	961
12	1.268e+04	1346	960
12	1.268e+04	1346	961
12	1.268e+04	1345	960
12	1.268e+04	1346	959
12	1.269e+04	1347	959
12	1.269e+04	1347	960
12	1.269e+04	1348	960
12	1.269e+04	1349	960
12	1.269e+04	1349	961
12	1.269e+04	1349	961
12	1.269e+04	1350	962
12	1.269e+04	1349	962
12	1.269e+04	1350	962
12	1.27e+04	1351	962
12	1.27e+04	1352	962
12	1.27e+04	1352	962
12	1.27e+04	1353	962
12	1.27e+04	1354	962
12	1.27e+04	1355	962
12	1.27e+04	1356	962
12	1.27e+04	1356	961
12	1.27e+04	1357	962
12	1.27e+04	1358	961
12	1.27e+04	1359	961
12	1.271e+04	1359	961
12	1.271e+04	1360	962
12	1.271e+04	1361	963
12	1.271e+04	1362	963
12	1.271e+04	1362	963
12	1.271e+04	1363	962
12	1.271e+04	1363	963
12	1.271e+04	1364	963
12	1.271e+04	1365	963
